"Name"	"lods"	"F.p.value"
"ZBTB16"	15.1237586298	"6.19188023612564e-12"
"ITGA4"	232.3529178346	"1.06235390918296e-106"
"ITGA4"	8.3017949086	"6.64622141433403e-09"
"REG1B"	135.3474028214	"1.72477808819532e-64"
"MSH3"	-7.4611523234	0.1437652136
"JAKMIP2"	235.1904723512	"6.19742075974235e-108"
"JAKMIP2"	485.0041858239	"1.58895666637025e-216"
"205890_s_at"	5.3359181012	"1.41001046853818e-07"
"ADORA2B"	99.3007057742	"8.74319871418118e-49"
"FABP1"	210.2161283429	"4.51399423510695e-97"
"NLGN1"	141.94870078	"2.30305865302476e-67"
"ARSE"	19.10902627	"1.07133334740225e-13"
"NOLC1"	120.616223858	"4.49589998993854e-58"
"SLC22A4"	144.8638617621	"1.23900554913211e-68"
"NFATC4"	-8.3256298488	0.5220982554
"CX3CR1"	0.1003554772	"3.28213126019717e-05"
"CCNA1"	238.076369605	"3.44472427003236e-109"
"KRT1"	384.1913444422	"1.03620295083970e-172"
"PNOC"	34.1468231412	"2.5875263716982e-20"
"KCNN3"	182.8719918023	"3.55279682910817e-85"
"KCNN3"	-2.1137960709	0.0003424642
"MICA"	-2.8443602391	0.0007493349
"205905_s_at"	132.2238412145	"3.95353987736991e-63"
"FOXJ1"	-4.9957208274	0.0078659589
"OMD"	-1.3973345812	0.0001597007
"OMD"	36.2887160028	"2.97202433277348e-21"
"POLE2"	72.3611036362	"4.94090869825955e-37"
"CEL"	-8.1379938841	0.3757106871
"PTH1R"	-6.6612225976	0.0532630088
"PNLIP"	549.2201443327	"1.96620229189565e-244"
"PLIN1"	25.0571559499	"2.55770955037909e-16"
"GRIN1"	145.8418997225	"4.6479567932133e-69"
"GRIN1"	119.2377399824	"1.79199437900604e-57"
"S100A7"	-4.1468570474	0.0030791138
"ZNF264"	6.8244116716	"3.03741739980201e-08"
"SLC4A3"	-8.5012956327	0.8085265609
"HBE1"	252.4532184591	"1.92810785876386e-115"
"SLC6A6"	253.8676181011	"4.67828008918641e-116"
"SLC6A6"	121.1593603842	"2.60742742647463e-58"
"VNN2"	164.988968234	"2.15118715563743e-77"
"RELN"	184.3344127865	"8.20832422214047e-86"
"RAB3B"	41.3305495674	"1.83048386797047e-23"
"RAB3B"	2.9911747884	"1.600222173318e-06"
"IL27RA"	-6.9943818234	0.0797537822
"CTSE"	88.5274311642	"4.35888818396386e-44"
"ZNF443"	-6.7155488804	0.0568461207
"GPA33"	159.7278821679	"4.19295326673779e-75"
"GTF2E1"	-6.4014042792	0.0391388629
"CREB5"	623.6509737897	"8.84148604596716e-277"
"MSX1"	-5.6296281126	0.0160532378
"SETBP1"	13.6534974895	"2.77449692636621e-11"
"PLCL1"	21.8951567833	"6.32071386615602e-15"
"FOXF1"	491.3444244765	"2.79062930831168e-219"
"HK3"	-4.5209762376	0.0046458105
"CGREF1"	49.573883774	"4.49657804689778e-27"
"PPM1E"	244.0757222582	"8.47537763235252e-112"
"CYP3A7"	145.3699290662	"7.46009327294832e-69"
"MYH3"	174.7308262593	"1.23908552467621e-81"
"COL10A1"	78.313208617	"1.24649721423902e-39"
"ACSM3"	384.0708688146	"1.16898342129184e-172"
"TDO2"	-1.2348313664	0.0001344067
"CLTCL1"	93.06842761	"4.56018415262719e-46"
"IL6R"	1.9582824536	"4.69061707083804e-06"
"VIPR2"	-1.7234074486	0.0002258652
"VIPR2"	33.4345831145	"5.31519052624346e-20"
"PTPRT"	35.5555953824	"6.23274982921802e-21"
"CA1"	430.7736231239	"5.88414066333634e-193"
"CA1"	305.8420496597	"1.18145947168498e-138"
"MYH1"	401.5126691376	"3.06916632325201e-180"
"KCNK3"	144.2685824932	"2.25032760490990e-68"
"LRIG2"	56.4799322302	"4.28646103820769e-30"
"RXRG"	187.9463238733	"2.20150572270031e-87"
"205955_at"	410.1414293053	"5.45447354628713e-184"
"PSMC3IP"	11.8976881614	"1.66807251674137e-10"
"PLXNB3"	-7.8879462327	0.2570923135
"CSHL1"	477.5637669785	"2.72057511584172e-213"
"MMP13"	-8.2998173412	0.4970048248
"PDK4"	62.5911378482	"9.14080693640781e-33"
"PSIP1"	-8.4711049768	0.7300661019
"PAK2"	77.7394261937	"2.21872915343151e-39"
"DNAJA3"	52.1771680319	"3.26485507009472e-28"
"ZNF426"	-7.4901270795	0.1493097008
"BATF"	58.2950051332	"6.8957222139052e-31"
"TAF13"	401.8833379323	"2.11796022850815e-180"
"HIST1H4C"	24.5129337357	"4.44069506532508e-16"
"KCNS3"	-0.3262255239	"5.1431737749203e-05"
"AADAC"	366.6904357847	"4.18958506644105e-165"
"MT3"	87.4237433363	"1.32061842476181e-43"
"205971_s_at"	-3.8660066779	0.0022651798
"SLC38A3"	44.0025041105	"1.23593759292064e-24"
"FEZ1"	156.9364447958	"6.8793670149559e-74"
"HOXD1"	691.4716458944	"2.95598483902227e-306"
"HOXD1"	103.3055514434	"1.57002458765016e-50"
"FASTKD2"	516.1520407401	"4.61949979206316e-230"
"EPHA1"	12.3099046115	"1.09445039480408e-10"
"KL"	453.3721612093	"8.87662178815853e-203"
"SCGB2A1"	-8.3879674184	0.5933257036
"205980_s_at"	43.4379157554	"2.18420265859269e-24"
"ING2"	13.9060874691	"2.14398203801827e-11"
"SFTPC"	26.6403953972	"5.14177581105121e-17"
"DPEP1"	-4.6122924051	0.0051388149
"CRHBP"	573.7469832793	"4.31070414627758e-255"
"CLCNKB"	-0.5398321871	"6.44307481971069e-05"
"AATK"	7.9187321849	"9.85209751710997e-09"
"CD1C"	179.235244505	"1.35834769577571e-83"
"CD84"	-5.5978479081	0.0154840581
"MOG"	117.9158316575	"6.7488978084036e-57"
"WNT5A"	-8.5238218966	0.906790813
"PRRX1"	-7.7712263066	0.2179856721
"IL15"	-8.5001194064	0.804808124
"TBX2"	20.7521298388	"2.01748402111141e-14"
"ELK4"	364.8836550489	"2.55564036325734e-164"
"IQCB1"	204.3055858865	"1.68128583850016e-94"
"AK2"	0.2656509176	"2.75859312987898e-05"
"ADAM28"	63.3086272165	"4.44107236421497e-33"
"CYP3A4"	105.2587970904	"2.2108524487623e-51"
"CYP3A4"	457.1900564092	"1.94532297790489e-204"
"MEP1A"	157.4510373875	"4.10731078745869e-74"
"NPY"	29.3842636145	"3.19582456319838e-18"
"GPR64"	208.6584176177	"2.14857077507556e-96"
"CEP135"	68.9204711604	"1.57095340358238e-35"
"TGM3"	291.9371534664	"1.31072760371713e-132"
"KIAA1009"	75.5624320888	"1.97826402288237e-38"
"KIAA1009"	358.9775841464	"9.43264680074613e-162"
"PRG4"	359.2720671164	"7.02477977677978e-162"
"TGM1"	-8.5076278917	0.8300502471
"ITGA9"	128.6293193187	"1.45364857548760e-61"
"HABP2"	257.8644370457	"8.55296126632861e-118"
"CASP1"	48.1161130974	"1.95381426976464e-26"
"LEFTY2"	42.526163788	"5.4790247109017e-24"
"ACTL6B"	4.0464200264	"5.35288978213432e-07"
"ACTL6B"	192.764810024	"1.76323718964121e-89"
"FOXJ3"	7.1459010819	"2.18150710441154e-08"
"CCDC22"	73.9121573488	"1.03911425037447e-37"
"KIAA0319"	243.1309144705	"2.18287819212029e-111"
"FOXG1"	287.7478570958	"8.68680803308353e-131"
"RBM19"	26.2527011801	"7.61528632152139e-17"
"SOCS6"	-3.3773077424	0.0013319307
"SCAND2"	533.9925499834	"8.15346635350013e-238"
"NDP"	-6.1568533227	0.0294091057
"NMU"	8.758464316	"4.15818410623476e-09"
"HPD"	171.4184765618	"3.42406366958292e-80"
"TNFAIP6"	34.6332731149	"1.58268095170393e-20"
"TNFAIP6"	-5.9356164977	0.0227749204
"S100A3"	-4.5534928955	0.0048155865
"MERTK"	-8.5263459166	0.9258316907
"ANKRD1"	487.5494236434	"1.24444009020232e-217"
"ASPA"	302.2275731195	"4.4031587909604e-137"
"USP5"	42.0855195964	"8.54593355164865e-24"
"DSC3"	18.1194185767	"2.93080903226757e-13"
"DSC3"	72.680033201	"3.5856306291345e-37"
"SERPINB8"	327.6252773708	"4.00762718684648e-148"
"REL"	491.7154943983	"1.92503563945870e-219"
"REL"	-3.0164110292	0.0009018726
"CCBL1"	189.4187569712	"5.03601175217254e-88"
"NR2C2"	422.7689496652	"1.77259641274707e-189"
"RAB33A"	156.3026717489	"1.29843060564539e-73"
"MAPK11"	107.0724794234	"3.58177693033722e-52"
"206042_x_at"	74.0225448818	"9.2998142883198e-38"
"ATP2C2"	-3.5753710544	0.0016510273
"BRAF"	392.3826575769	"2.85232786035482e-176"
"NOL4"	127.3412021716	"5.29041481926834e-61"
"ADAM23"	3.7180510814	"7.52363984889735e-07"
"GNB3"	87.3891651959	"1.36728778798541e-43"
"OVOL2"	21.6823810677	"7.84462164666216e-15"
"SELP"	21.8982990568	"6.30058507174615e-15"
"RNH1"	414.1985352979	"9.4070374277392e-186"
"ELAVL4"	137.6608342666	"1.69566366040967e-65"
"SLBP"	177.6594434693	"6.58726067083746e-83"
"ZNF510"	65.9210114313	"3.20787628971529e-34"
"KNG1"	120.7830325993	"3.80320751349889e-58"
"SNRPA1"	46.0421774736	"1.58049251380032e-25"
"SPN"	-1.1404840608	0.000121614
"SPN"	19.5397109481	"6.9150279890585e-14"
"SLC6A12"	339.3371790505	"3.24942486565604e-153"
"ZNF91"	31.967572052	"2.34231821857012e-19"
"PTPN22"	101.8663765011	"6.65624880388794e-50"
"DICER1"	2.1271393689	"3.93334256464448e-06"
"GUCA1A"	314.7382258541	"1.60330396379429e-142"
"206063_x_at"	238.5017000388	"2.25000465202406e-109"
"PPIL2"	200.9158694919	"5.01455400398356e-93"
"DPYS"	556.0903094626	"2.03207656456387e-247"
"RAD51C"	-8.5236736197	0.9057936046
"WT1"	-7.287400272	0.1149810715
"ACADL"	185.5706664693	"2.37878668443017e-86"
"ACADL"	262.8650085715	"5.72445360174005e-120"
"EPHA3"	2.7810963115	"1.99086355837023e-06"
"EPHA3"	180.5423104027	"3.66661332900542e-84"
"UCN"	54.6718183914	"2.64690210124759e-29"
"COLQ"	59.5612576107	"1.92791381931224e-31"
"HMGA1"	64.9257677497	"8.72926150332416e-34"
"CSNK2A1"	27.189030879	"2.94967088012904e-17"
"LRRC23"	-6.5960602337	0.0492779747
"KEL"	32.5708315162	"1.27273595132577e-19"
"KALRN"	168.3561403486	"7.36621073239577e-79"
"CHML"	467.652526908	"5.52115649588985e-209"
"PLCH2"	92.1225002961	"1.17890562454939e-45"
"SLC24A1"	1.8750914485	"5.11589150072778e-06"
"HCP5"	-4.8082686426	0.006384955
"BAI1"	2.6974436203	"2.17186526533677e-06"
"PTPRR"	268.9728974982	"1.26456968225339e-122"
"CTH"	107.9143892672	"1.53880862903952e-52"
"HFE"	23.5071828126	"1.23137790325016e-15"
"HFE"	-7.0992503047	0.0907872545
"206088_at"	164.0057401251	"5.76242357394319e-77"
"NELL1"	124.1567925552	"1.2897848634768e-59"
"DISC1"	185.3958141652	"2.83422259228112e-86"
"MATN3"	-0.2772325118	"4.88430616451192e-05"
"RTEL1"	90.8386587514	"4.27919191576668e-45"
"206093_x_at"	27.1853037804	"2.96082617146493e-17"
"206094_x_at"	25.5626291536	"1.53235517499094e-16"
"FUSIP1"	-7.7847105557	0.2221175292
"ZNF35"	-8.1155221649	0.3623900141
"SLC22A18AS"	62.4442214983	"1.05969319059409e-32"
"ZBTB6"	125.8483732463	"2.36430799978408e-60"
"PRKCH"	180.6123689355	"3.41806795808836e-84"
"CPM"	0.7614994109	"1.63936669886449e-05"
"ECM2"	2.83412358	"1.88404357521126e-06"
"GINS1"	-8.4541977719	0.6958400196
"RAC3"	-8.5212321088	0.8906981443
"ISL1"	467.3823346309	"7.23526558767398e-209"
"AFF2"	161.8709690902	"4.89482226712892e-76"
"MAPK12"	57.0631543192	"2.38290484411553e-30"
"RGS11"	-4.9278103159	0.0072926212
"SFRS6"	25.3494562127	"1.90188915782724e-16"
"FUT1"	51.6107924876	"5.77613079386062e-28"
"HIST1H3H"	6.2864890517	"5.28710972890365e-08"
"RNASE2"	367.4754456484	"1.90968822778116e-165"
"ANKRD7"	568.0991597903	"1.22753223021687e-252"
"RAB5A"	2.5409111346	"2.55609449202850e-06"
"EPHA4"	-0.2801285444	"4.89923718901635e-05"
"EGR3"	-7.2783915016	0.1136736932
"TPM1"	139.1943640065	"3.64406553604415e-66"
"TPM1"	19.9665345277	"4.481413120758e-14"
"STAT4"	210.2559021768	"4.33770394448356e-97"
"BHMT"	396.8340306634	"3.31505454264832e-178"
"CD33"	188.3588235086	"1.45628518903820e-87"
"AMPD1"	350.8076977377	"3.3559677103687e-158"
"SOX15"	209.4759473696	"9.47395077493384e-97"
"LLGL1"	203.8217170851	"2.72979837975028e-94"
"LLGL1"	14.6423781533	"1.01156922457566e-11"
"KLK8"	30.1703689606	"1.44252661533199e-18"
"CXCR5"	-3.8837549339	0.002309457
"ELK3"	228.4592189883	"5.24432326027639e-105"
"ADRA2C"	64.633782589	"1.17094059261351e-33"
"ARSB"	362.6605830818	"2.36470236377346e-163"
"ASGR2"	30.3912128459	"1.15368706856313e-18"
"CLPS"	30.4822304206	"1.05219945845223e-18"
"MCC"	90.042644922	"9.517448169284e-45"
"XAF1"	-8.4020197396	0.6121192477
"ADAMDEC1"	-3.7379794882	0.001970271
"ST18"	363.6210936971	"9.04236317645598e-164"
"FZD5"	-0.076748995	"3.9544820886425e-05"
"RIMS2"	18.0033357233	"3.29817541154203e-13"
"PI4KB"	540.4018725436	"1.33639582381936e-240"
"PI4KB"	120.4046126699	"5.55905506393848e-58"
"LHX2"	23.2341945434	"1.62424585714670e-15"
"MOCS3"	8.2306670389	"7.15006643402382e-09"
"ZNF135"	144.530999535	"1.72979373169702e-68"
"SLC26A3"	10.5271808843	"6.78115131261351e-10"
"MAGI1"	412.4247076382	"5.55127655015956e-185"
"RHAG"	595.8076733836	"1.11468798463867e-264"
"RHAG"	16.0671077629	"2.36761566793268e-12"
"SCML2"	16.3519958483	"1.77126514216265e-12"
"IL3RA"	6.7461680562	"3.29232240324495e-08"
"CHP2"	81.7215016193	"4.05893111791035e-41"
"CD27"	-8.3796715794	0.5827826653
"CELA3B"	365.4049800943	"1.51670867154141e-164"
"AGAP2"	41.1224694923	"2.25813033859993e-23"
"CYP4F11"	160.5310915162	"1.87463903286672e-75"
"RLBP1"	75.8393472403	"1.4976594071814e-38"
"ABCC2"	134.1153170348	"5.93296522895763e-64"
"GJB5"	26.6291817438	"5.200515961482e-17"
"PTX3"	16.3399069206	"1.79320889804907e-12"
"CNBP"	238.6502908375	"1.93893481955774e-109"
"GDF10"	109.5028643888	"3.12563700856398e-53"
"APOBEC2"	310.444596093	"1.17911030589006e-140"
"SYT5"	35.7966305212	"4.88572408483048e-21"
"SYT5"	-8.2743714516	0.4741995143
"MAB21L1"	358.7506460928	"1.18379149463945e-161"
"CLCA2"	1.9532955419	"4.7150800284972e-06"
"CLCA2"	11.7523152022	"1.93543158390374e-10"
"CLCA2"	-1.3493427787	0.0001517685
"ARHGAP6"	12.5937167541	"8.1890325593143e-11"
"ZC3H7B"	95.5941161212	"3.61141093156136e-47"
"ZC3H7B"	20.1401308489	"3.75674068244873e-14"
"ADRB2"	213.3359493059	"1.98380642304798e-98"
"ADORA3"	164.0531392184	"5.49510106674656e-77"
"IL13RA2"	362.2785941232	"3.46586516172956e-163"
"GABPB1"	66.0628934793	"2.78125793293506e-34"
"PPP6C"	149.7019439438	"9.70024710247933e-71"
"ZNF222"	65.0651938609	"7.58697474392384e-34"
"BMP6"	65.0777371063	"7.49185058491832e-34"
"ARG1"	398.4450975174	"6.61109133435746e-179"
"PLA2G5"	44.4704977194	"7.70953294021846e-25"
"TPPP"	-4.7624185792	0.0060682007
"ZNF747"	45.7575448011	"2.10581120819852e-25"
"SLAMF1"	90.5737132633	"5.5835278982721e-45"
"ZNF134"	222.9418473774	"1.31629750375764e-102"
"HERC3"	113.4612493561	"5.88931245599249e-55"
"CRKL"	247.4005802099	"3.03593104095666e-113"
"CRYBB1"	-4.1129095616	0.0029667226
"MPP3"	208.0331241838	"4.01928574121969e-96"
"PTGIR"	23.0381739494	"1.98159392280219e-15"
"ZNF623"	-8.1619503303	0.3906818499
"UNC5C"	611.1061634958	"2.50319000137579e-271"
"GPR17"	356.7365587272	"8.8864319790454e-161"
"ENTPD3"	141.2976699398	"4.42351677103160e-67"
"CDSN"	145.684129443	"5.44440493825676e-69"
"CDSN"	154.8633921864	"5.49443486830116e-73"
"206194_at"	-8.5265061073	0.9272105246
"GH2"	276.1412512981	"9.66399576464513e-126"
"RUNDC3A"	59.0182177583	"3.33002092102534e-31"
"NME5"	-3.8945127259	0.0023367212
"CEACAM7"	500.4484496943	"3.08452100671092e-223"
"CEACAM7"	4.011366641	"5.5509063183927e-07"
"ANXA11"	180.1387243594	"5.49385483579117e-84"
"MEOX2"	10.1340544087	"1.01438275212467e-09"
"MEOX2"	455.3199333882	"1.26399666606843e-203"
"RCVRN"	335.4636443292	"1.56886285835107e-151"
"GRB14"	-8.516882727	0.8681104116
"MPHOSPH9"	-7.6417109679	0.182593653
"CD180"	17.2190871816	"7.32594318709613e-13"
"CLC"	469.4932947629	"8.75065756190404e-210"
"CA4"	40.2144330105	"5.64552445118593e-23"
"CA4"	177.6737730332	"6.4933590914523e-83"
"CETP"	417.1471025468	"4.91985540439932e-187"
"SELE"	61.5924559762	"2.49677749575979e-32"
"CPA2"	55.5300721129	"1.11538835386821e-29"
"WNT10B"	192.96034457	"1.4495750951761e-89"
"PLA2G7"	-8.150468667	0.3834030184
"OPCML"	199.0731434772	"3.17595519903828e-92"
"SRPK3"	44.8888283821	"5.05620160513818e-25"
"EDA"	-4.2122898586	0.0033081051
"MAGEB2"	361.8652001258	"5.24200592050945e-163"
"VAV1"	-5.7334835597	0.018068412
"RASA3"	124.5604639206	"8.6036828013053e-60"
"RASA3"	-7.5796435224	0.168032111
"TNFRSF10C"	82.8598433562	"1.29342206924849e-41"
"LMTK2"	282.4254042478	"1.79023963043939e-128"
"CST1"	11.076606537	"3.86375204360029e-10"
"ZNF507"	253.3918830149	"7.53280654402739e-116"
"HRG"	474.5416603616	"5.59820256545901e-212"
"CILP"	5.4929280138	"1.19894199352467e-07"
"PAX2"	33.561027281	"4.67748637359091e-20"
"PAX2"	327.6624695463	"3.86117824623737e-148"
"LHX1"	30.0126645265	"1.69208094274145e-18"
"KCNN1"	77.8496176871	"1.98615553632077e-39"
"B4GALT6"	473.7765804071	"1.20378171873888e-211"
"B4GALT6"	564.914881072	"2.97087986350702e-251"
"MMP17"	120.1642903207	"7.07446253152645e-58"
"LIG4"	6.8750582418	"2.88305728166183e-08"
"GPR4"	5.6167577934	"1.05505093900738e-07"
"NRG1"	414.5875817566	"6.37332357187253e-186"
"YAF2"	5.8462454073	"8.32551236692333e-08"
"SPINK1"	61.7438901771	"2.14390106422199e-32"
"ZNF136"	-7.1927916919	0.1020352951
"KPNA5"	33.476154569	"5.09647201194123e-20"
"TM4SF5"	5.6001162691	"1.07333317651010e-07"
"TIMP4"	68.1038935089	"3.57093843935156e-35"
"CR1"	405.5012021189	"5.66893673022879e-182"
"IVNS1ABP"	52.1011827153	"3.52455463420148e-28"
"PFKFB4"	-8.3682304052	0.5688443965
"MICB"	-5.1294437675	0.0091335306
"PRKCE"	177.7857867384	"5.80399898736114e-83"
"MAP3K13"	-6.9745452332	0.0778344332
"AVPR1A"	-4.8819692644	0.0069299153
"AVPR1A"	265.3344967947	"4.83011052773822e-121"
"AVPR1A"	172.6596732102	"9.87189331829399e-81"
"DLG2"	342.4258113569	"1.47648447432856e-154"
"EGF"	30.4575075673	"1.07884815409707e-18"
"BLK"	29.1425769585	"4.08142058170791e-18"
"CPN1"	395.0303578167	"2.01568514579155e-177"
"CCDC9"	5.7838576054	"8.87911986453304e-08"
"ST8SIA5"	210.92234091	"2.22519873765611e-97"
"PROC"	50.8259910704	"1.27349113016890e-27"
"TGM4"	374.2843089753	"2.09642602301667e-168"
"ZNF239"	55.1145900374	"1.69476862718417e-29"
"ADH1C"	280.2276261463	"1.61606657413659e-127"
"FMO4"	275.4993904669	"1.83751930861582e-125"
"GPLD1"	315.9498177557	"4.76776089777608e-143"
"GPLD1"	200.306602175	"9.2316748581672e-93"
"GPLD1"	27.076972015	"3.30417626775764e-17"
"MATK"	72.2874855961	"5.3204473450422e-37"
"LEFTY1"	106.5885554502	"5.82107396391891e-52"
"GCM1"	48.8334593774	"9.48235007635815e-27"
"PRKCG"	120.1680648438	"7.04772802944242e-58"
"TLR3"	13.2031972161	"4.39389023062488e-11"
"206272_at"	1.8649959115	"5.17006632023985e-06"
"SLMO1"	442.7270243819	"3.75534142304873e-198"
"CROCC"	26.2099898366	"7.95205577015839e-17"
"MICAL2"	224.6358800621	"2.41300909505447e-103"
"LY6D"	76.2454311098	"9.95783341179153e-39"
"P2RY2"	21.2055742669	"1.27296808301391e-14"
"PTAFR"	150.7003036601	"3.56586244716129e-71"
"PRKY"	390.6653282428	"1.59077772738837e-175"
"CDH18"	109.4702555819	"3.22960078657476e-53"
"ADCYAP1"	170.1707500178	"1.19545852620085e-79"
"NEUROD1"	373.3998077671	"5.08073972839989e-168"
"TAL1"	63.0311754013	"5.87102512497754e-33"
"CLTB"	175.7757441112	"4.34907011068072e-82"
"NPHP1"	277.7229075064	"1.98367703175619e-126"
"206286_s_at"	401.576772576	"2.87845430666998e-180"
"ITIH4"	1.9363109271	"4.79936162406334e-06"
"PGGT1B"	165.8742845101	"8.85871223459032e-78"
"HOXA4"	-1.7315922746	0.0002278416
"RGS7"	436.5578720435	"1.80218350620320e-195"
"NTS"	53.247210203	"1.11122101220845e-28"
"SULT2A1"	110.3174061507	"1.38032631363319e-53"
"SULT2A1"	274.7949288697	"3.71985798814216e-125"
"HSD3B2"	527.0413187231	"8.55570253723395e-235"
"IL18"	-5.0845560075	0.00868625
"MAP4K1"	-7.3099077826	0.1183205485
"CTRC"	235.9680366734	"2.84479609294715e-108"
"ARHGAP22"	4.1220017323	"4.94969176314085e-07"
"FAM155B"	237.8662701327	"4.25132574783091e-109"
"PTHLH"	34.6359420883	"1.57841827006884e-20"
"TEC"	30.5229458908	"1.00973981006333e-18"
"206302_s_at"	1.4993793565	"7.57348472083852e-06"
"NUDT4"	44.4599482728	"7.79198771134804e-25"
"MYBPH"	124.0239325316	"1.47363329985846e-59"
"C8A"	253.0414541149	"1.06989002399495e-115"
"RYR3"	581.2529540916	"2.35789692321773e-258"
"FOXD1"	49.2348854759	"6.32753531730779e-27"
"TRDMT1"	241.9968312503	"6.79538369429779e-111"
"LECT1"	239.0305119144	"1.32498302476634e-109"
"SPINK2"	277.8262127406	"1.78877301318726e-126"
"PLA2G1B"	427.7776874197	"1.17963782405734e-191"
"GUCY2C"	24.6210831345	"3.97953783344907e-16"
"HLA-DOA"	15.942516639	"2.68804032522477e-12"
"ZNF167"	407.6228498376	"6.78239879847661e-183"
"CRLF1"	-8.3844934667	0.5888637377
"KNTC1"	24.1263148563	"6.57200329119566e-16"
"ABCB8"	330.7142832309	"1.82012336142280e-149"
"SPINLW1"	447.9043248397	"2.11143076489909e-200"
"SPINLW1"	656.0262878141	"7.51605607305903e-291"
"SMAD9"	156.526741858	"1.03725281678122e-73"
"RFX1"	14.1252060437	"1.71441186135674e-11"
"SYN3"	295.665813846	"3.13660314757488e-134"
"OPHN1"	32.4746369251	"1.40273923590025e-19"
"DAPK2"	1.6818609983	"6.25913564707166e-06"
"SERPINA6"	-8.2975747628	0.4949222983
"GRP"	-7.9112075499	0.2658828657
"CDH15"	9.0590714324	"3.05429074153773e-09"
"CDH15"	8.6289058165	"4.74975935979548e-09"
"EXTL1"	17.540994811	"5.27932053387517e-13"
"SHC3"	150.0137429392	"7.09652541520327e-71"
"CALCRL"	-2.7543405646	0.000680198
"IFI16"	109.2191606123	"4.1550075507386e-53"
"MSI1"	279.9840071851	"2.06243517737010e-127"
"LIPF"	175.2851980567	"7.10985727711572e-82"
"GALNS"	-4.0117721347	0.0026559606
"CXCL6"	390.1910418338	"2.55711929824713e-175"
"CCR7"	12.6816289796	"7.48552260501789e-11"
"ELAVL3"	128.1458052041	"2.36074142123456e-61"
"CARTPT"	8.3884193291	"6.08037160628102e-09"
"NR1H4"	336.012427032	"9.05804879359524e-152"
"IL2RA"	265.3513001412	"4.74953101500164e-121"
"IDS"	14.0204385447	"1.90784124206876e-11"
"NRG1"	120.8317812828	"3.62171088314643e-58"
"PON1"	518.2433883089	"5.69799303741378e-231"
"PON1"	284.4943485279	"2.25624560628272e-129"
"PRLR"	-8.3310605108	0.5276606953
"PDK3"	384.7937939022	"5.67017373869569e-173"
"PDK3"	-8.0587227414	0.3314836228
"LGI1"	242.0427395293	"6.49007245983697e-111"
"APCS"	241.9571260835	"7.07100001768126e-111"
"PEX10"	-8.448694057	0.6856513253
"PEX10"	-0.7572428971	"8.10642468497467e-05"
"COX6A2"	1.456728219	"7.91868123329747e-06"
"SLCO1B3"	53.4699754262	"8.87902492479931e-29"
"GNAL"	214.4186378323	"6.7074852304403e-99"
"GNAL"	444.9275293155	"4.15241821013012e-199"
"OPA3"	-4.2610320929	0.0034898759
"PRM1"	199.5977353302	"1.87784327257165e-92"
"SOCS3"	-8.3730173293	0.5745950211
"SOCS3"	-2.3692910207	0.000450051
"GPR44"	-7.2305834082	0.1070039156
"MAP3K10"	97.7262882656	"4.24675255927485e-48"
"MAF"	4.2020821175	"4.55565787503763e-07"
"KIF14"	1.8238791678	"5.39672097498112e-06"
"XCL1"	219.9395990241	"2.66172938902222e-101"
"XCL1"	14.5936008117	"1.06316529907995e-11"
"REN"	179.7735020463	"7.92130717572818e-84"
"CPLX2"	-5.050739125	0.0083641379
"PIK3CG"	339.5813547796	"2.54487763434119e-153"
"PIK3CG"	197.9420702314	"9.86128194372736e-92"
"FOLR3"	-7.9904953816	0.2988254552
"MYF6"	257.4143606354	"1.34222361012447e-117"
"ZIC1"	-5.7587730019	0.0185975331
"DUSP8"	11.0280538554	"4.06060832988342e-10"
"HSPB3"	201.7688758279	"2.13379978758678e-93"
"SLC6A15"	344.7888717931	"1.38692564635586e-155"
"FOXF2"	105.3088041432	"2.10263733347008e-51"
"SCGB2A2"	4.7696388972	"2.5317796275991e-07"
"EYA3"	372.2191157853	"1.65620627817128e-167"
"CFP"	8.7261251586	"4.29855162413688e-09"
"SCN2A"	505.6682197839	"1.66239903831762e-225"
"BDNF"	95.6731293388	"3.33599865806348e-47"
"G3BP2"	-7.2630544225	0.1114854552
"CACNG3"	433.4301742285	"4.12212595052039e-194"
"ANK3"	5.7451767548	"9.24073441770547e-08"
"SERPINA7"	502.4162502036	"4.30530295349873e-224"
"CDX2"	91.1589870516	"3.10215505606516e-45"
"PDE3A"	362.1870035514	"3.79858988894214e-163"
"PDE3A"	529.4317915821	"7.82325800975e-236"
"PF4"	79.2997603577	"4.62548007468195e-40"
"RARRES1"	-8.0217907467	0.313257253
"RARRES1"	-7.8930533982	0.2589911192
"TNNI2"	0.4312136576	"2.31825705906936e-05"
"MYBPC2"	28.6499741461	"6.71972052816879e-18"
"DGKG"	187.7852491982	"2.58703088867425e-87"
"SLC1A1"	-4.1459354675	0.0030760063
"206397_x_at"	-7.797851132	0.2262345572
"CD19"	60.7679999533	"5.72368095675086e-32"
"CACNA1A"	-0.5541715972	"6.54134656008129e-05"
"206400_at"	12.8304914847	"6.42944028432667e-11"
"MAPT"	-8.1693213922	0.3954593523
"NPFF"	28.9932355609	"4.74739684702943e-18"
"ZNF536"	196.9710117705	"2.60846302195670e-91"
"FGF9"	43.8944577453	"1.37822540702415e-24"
"USP6"	21.6271722768	"8.29685316837745e-15"
"SMCP"	323.3656634227	"2.84811183005408e-146"
"CCL13"	56.9372978935	"2.70477618532335e-30"
