"Name"	"coefficients"	"df.residual"	"sigma"	"stdev.unscaled"	"Amean"	"s2.post"	"t"	"p.value"	"lods"	"F"	"F.p.value"
"FNTB"	0.3840949861	1189	0.234135775	0.1314473217	6.8409138256	0.0549462456	12.465734848	"1.29307823655718e-33"	64.5351492871	155.3945453013	"1.29307823655718e-33"
"PLD1"	-0.0952457705	1189	0.1805060267	0.1314473217	6.3459541026	0.0327665452	-4.0029358598	"6.64235673656676e-05"	-0.5686865197	16.0234954977	"6.64235673656676e-05"
"PMS2L11"	0.5136776245	1189	0.2944466767	0.1314473217	9.6023641721	0.0867431907	13.2684811159	"1.41168738492623e-37"	73.6073238105	176.0525911243	"1.41168738492623e-37"
"BAD"	0.8370340668	1189	0.5385140537	0.1314473217	7.0520137038	0.2895166427	11.8346283869	"1.24293459962946e-30"	57.7096992787	140.0584290562	"1.24293459962946e-30"
"PRPF8"	2.0813655167	1189	0.4803985819	0.1314473217	9.735265673	0.2304549962	32.984017298	"4.55728243989862e-170"	378.1098838341	1087.9453971164	"4.55728243989862e-170"
"CAPNS1"	2.1773649183	1189	0.3881058607	0.1314473217	11.0631752044	0.15050539	42.6975988951	"1.84196823121303e-242"	544.6833009031	1823.0849514041	"1.84196823121303e-242"
"RPL35"	3.2471978309	1189	0.4691795217	0.1314473217	11.739155532	0.2198291383	52.6883232672	"1.38215455385889e-313"	708.3367645076	2776.0594087116	"1.38215455390830e-313"
"RPL28"	3.6667148866	1189	0.4388715115	0.1314473217	12.5658739243	0.1923790014	63.5984552634	0	873.5877352479	4044.763511896	0
"EIF4G2"	2.2678504277	1189	0.4050177922	0.1314473217	11.2933437879	0.1638839985	42.6181300934	"7.052214305708e-242"	543.3416976506	1816.3050126619	"7.052214305708e-242"
"EIF3D"	2.0275714792	1189	0.445786083	0.1314473217	10.3224926827	0.1984802302	34.6230884015	"2.30835211531598e-182"	406.3989884967	1198.7582504591	"2.30835211531611e-182"
"PARK7"	1.3506096239	1189	0.4640659213	0.1314473217	11.6897388798	0.21506922	22.1558781729	"2.30130175186645e-91"	197.0960821299	490.882937612	"2.30130175186645e-91"
"SRP14"	2.1597965353	1189	0.3775235106	0.1314473217	11.4706860823	0.1424241586	43.5380794433	"1.29754196923194e-248"	558.8396234155	1895.5643616112	"1.29754196923165e-248"
"GDI2"	1.694867195	1189	0.77244741	0.1314473217	9.9245965999	0.5954021572	16.7100877452	"1.76288944790277e-56"	116.9587029059	279.2270324507	"1.76288944790277e-56"
"GDI2"	1.7696631733	1189	0.5359902356	0.1314473217	11.3140760411	0.2868117936	25.1385584112	"3.08451641902106e-112"	245.0851568542	631.9471189944	"3.08451641902106e-112"
